produto,preco,descricao,grupo,canal
Bolsa de Viagem,R$199,https://s.shopee.com.br/5pvb1H1CPb,Achadinhos da Lili 002,whatsapp
Kit Lençol,R$99,https://s.shopee.com.br/2qHz9GqgIt,Achadinhos da Lili 002,whatsapp
Phone ,R$99,Phone,https://s.shopee.com.br/9zl9gFQjum,Achadinhos da Lili 002,whatsapp

Bolsa de Viagem,R$199,https://s.shopee.com.br/5pvb1H1CPb,Achadinhos-Lili-Telegram,Telegram
Kit Lençol,R$99,https://s.shopee.com.br/2qHz9GqgIt,Achadinhos-Lili-Telegram,Telegram
Phone ,R$99,https://s.shopee.com.br/9zl9gFQjum,Achadinhos-Lili-Telegram,Telegram


